Geno,Env,Group,yield,env_index,mintf,radg
G094,LN96a,G_1,1.993333333,-1.8157703,15.72,18.19
G095,LN96a,G_1,0.773333333,-1.8157703,15.72,18.19
G096,LN96a,G_1,1.4,-1.8157703,15.72,18.19
G097,LN96a,G_1,1.1,-1.8157703,15.72,18.19
G098,LN96a,G_1,0.953333333,-1.8157703,15.72,18.19
G099,LN96a,G_1,0.926666667,-1.8157703,15.72,18.19
G100,LN96a,G_1,1.38,-1.8157703,15.72,18.19
G101,LN96a,G_1,0.78,-1.8157703,15.72,18.19
G102,LN96a,G_1,1.753333333,-1.8157703,15.72,18.19
G103,LN96a,G_1,1.44,-1.8157703,15.72,18.19
G104,LN96a,G_1,1.993333333,-1.8157703,15.72,18.19
G105,LN96a,G_1,1.393333333,-1.8157703,15.72,18.19
G106,LN96a,G_1,1.66,-1.8157703,15.72,18.19
G107,LN96a,G_1,0.986666667,-1.8157703,15.72,18.19
G108,LN96a,G_1,1.2,-1.8157703,15.72,18.19
G109,LN96a,G_1,1.093333333,-1.8157703,15.72,18.19
G110,LN96a,G_1,1.133333333,-1.8157703,15.72,18.19
G111,LN96a,G_1,1.213333333,-1.8157703,15.72,18.19
G112,LN96a,G_1,1.126666667,-1.8157703,15.72,18.19
G113,LN96a,G_1,0.72,-1.8157703,15.72,18.19
G114,LN96a,G_1,1.44,-1.8157703,15.72,18.19
G115,LN96a,G_1,2.193333333,-1.8157703,15.72,18.19
G116,LN96a,G_1,1.713333333,-1.8157703,15.72,18.19
G117,LN96a,G_1,1.52,-1.8157703,15.72,18.19
G118,LN96a,G_1,1.12,-1.8157703,15.72,18.19
G119,LN96a,G_1,0.926666667,-1.8157703,15.72,18.19
G120,LN96a,G_1,0.913333333,-1.8157703,15.72,18.19
G121,LN96a,G_1,3.113333333,-1.8157703,15.72,18.19
G122,LN96a,G_1,1.306666667,-1.8157703,15.72,18.19
G123,LN96a,G_1,2.56,-1.8157703,15.72,18.19
G124,LN96a,G_1,1.28,-1.8157703,15.72,18.19
G125,LN96a,G_1,1.08,-1.8157703,15.72,18.19
G126,LN96a,G_1,1.04,-1.8157703,15.72,18.19
G127,LN96a,G_1,1.46,-1.8157703,15.72,18.19
G128,LN96a,G_1,1.166666667,-1.8157703,15.72,18.19
G129,LN96a,G_1,1.5,-1.8157703,15.72,18.19
G130,LN96a,G_1,1.84,-1.8157703,15.72,18.19
G131,LN96a,G_1,1.56,-1.8157703,15.72,18.19
G132,LN96a,G_1,0.873333333,-1.8157703,15.72,18.19
G133,LN96a,G_1,1.64,-1.8157703,15.72,18.19
G134,LN96a,G_1,1.086666667,-1.8157703,15.72,18.19
G135,LN96a,G_1,1.093333333,-1.8157703,15.72,18.19
G136,LN96a,G_1,1.526666667,-1.8157703,15.72,18.19
G137,LN96a,G_1,1.326666667,-1.8157703,15.72,18.19
G138,LN96a,G_1,0.413333333,-1.8157703,15.72,18.19
G139,LN96a,G_1,1.12,-1.8157703,15.72,18.19
G140,LN96a,G_1,0.38,-1.8157703,15.72,18.19
G141,LN96a,G_1,0.833333333,-1.8157703,15.72,18.19
G142,LN96a,G_1,1.333333333,-1.8157703,15.72,18.19
G143,LN96a,G_1,0.653333333,-1.8157703,15.72,18.19
G144,LN96a,G_1,0.666666667,-1.8157703,15.72,18.19
G145,LN96a,G_1,1.246666667,-1.8157703,15.72,18.19
G146,LN96a,G_1,1.266666667,-1.8157703,15.72,18.19
G147,LN96a,G_1,1.313333333,-1.8157703,15.72,18.19
G148,LN96a,G_1,1.186666667,-1.8157703,15.72,18.19
G149,LN96a,G_1,0.726666667,-1.8157703,15.72,18.19
G150,LN96a,G_1,0.76,-1.8157703,15.72,18.19
G151,LN96a,G_1,1.573333333,-1.8157703,15.72,18.19
G152,LN96a,G_1,1.22,-1.8157703,15.72,18.19
G153,LN96a,G_1,1.02,-1.8157703,15.72,18.19
G154,LN96a,G_1,1.533333333,-1.8157703,15.72,18.19
G155,LN96a,G_1,1.006666667,-1.8157703,15.72,18.19
G156,LN96a,G_1,0.7,-1.8157703,15.72,18.19
G157,LN96a,G_1,1.46,-1.8157703,15.72,18.19
G158,LN96a,G_1,1.366666667,-1.8157703,15.72,18.19
G159,LN96a,G_1,1.733333333,-1.8157703,15.72,18.19
G160,LN96a,G_1,1.633333333,-1.8157703,15.72,18.19
G161,LN96a,G_1,1.366666667,-1.8157703,15.72,18.19
G162,LN96a,G_1,1.273333333,-1.8157703,15.72,18.19
G163,LN96a,G_1,0.773333333,-1.8157703,15.72,18.19
G164,LN96a,G_1,1.28,-1.8157703,15.72,18.19
G165,LN96a,G_1,1.453333333,-1.8157703,15.72,18.19
G166,LN96a,G_1,1,-1.8157703,15.72,18.19
G167,LN96a,G_1,1.013333333,-1.8157703,15.72,18.19
G168,LN96a,G_1,0.993333333,-1.8157703,15.72,18.19
G169,LN96a,G_1,0.94,-1.8157703,15.72,18.19
G170,LN96a,G_1,1.186666667,-1.8157703,15.72,18.19
G171,LN96a,G_1,1.013333333,-1.8157703,15.72,18.19
G172,LN96a,G_1,1.153333333,-1.8157703,15.72,18.19
G173,LN96a,G_1,0.94,-1.8157703,15.72,18.19
G174,LN96a,G_1,0.993333333,-1.8157703,15.72,18.19
G175,LN96a,G_1,1.58,-1.8157703,15.72,18.19
G176,LN96a,G_1,1.28,-1.8157703,15.72,18.19
G177,LN96a,G_1,1.286666667,-1.8157703,15.72,18.19
G178,LN96a,G_1,0.873333333,-1.8157703,15.72,18.19
G179,LN96a,G_1,1.22,-1.8157703,15.72,18.19
G180,LN96a,G_1,0.413333333,-1.8157703,15.72,18.19
G181,LN96a,G_1,1.26,-1.8157703,15.72,18.19
G182,LN96a,G_1,1.246666667,-1.8157703,15.72,18.19
G183,LN96a,G_1,1.38,-1.8157703,15.72,18.19
G184,LN96a,G_1,1.173333333,-1.8157703,15.72,18.19
G185,LN96a,G_1,1.086666667,-1.8157703,15.72,18.19
G186,LN96a,G_1,1.386666667,-1.8157703,15.72,18.19
G187,LN96a,G_1,1.22,-1.8157703,15.72,18.19
G188,LN96a,G_1,0.82,-1.8157703,15.72,18.19
G189,LN96a,G_1,0.993333333,-1.8157703,15.72,18.19
G190,LN96a,G_1,1.193333333,-1.8157703,15.72,18.19
G191,LN96a,G_1,0.853333333,-1.8157703,15.72,18.19
G192,LN96a,G_1,2,-1.8157703,15.72,18.19
G193,LN96a,G_1,1.046666667,-1.8157703,15.72,18.19
G194,LN96a,G_1,0.28,-1.8157703,15.72,18.19
G195,LN96a,G_1,1.373333333,-1.8157703,15.72,18.19
G196,LN96a,G_1,1.773333333,-1.8157703,15.72,18.19
G197,LN96a,G_1,0.946666667,-1.8157703,15.72,18.19
G198,LN96a,G_1,1.513333333,-1.8157703,15.72,18.19
G199,LN96a,G_1,0.853333333,-1.8157703,15.72,18.19
G200,LN96a,G_1,1.52,-1.8157703,15.72,18.19
G201,LN96a,G_1,1.44,-1.8157703,15.72,18.19
G202,LN96a,G_1,1.093333333,-1.8157703,15.72,18.19
G203,LN96a,G_1,1.306666667,-1.8157703,15.72,18.19
G204,LN96a,G_1,1.153333333,-1.8157703,15.72,18.19
G205,LN96a,G_1,2.12,-1.8157703,15.72,18.19
G206,LN96a,G_1,1.66,-1.8157703,15.72,18.19
G207,LN96a,G_1,0.94,-1.8157703,15.72,18.19
G208,LN96a,G_1,0.806666667,-1.8157703,15.72,18.19
G209,LN96a,G_1,1.146666667,-1.8157703,15.72,18.19
G210,LN96a,G_1,1.82,-1.8157703,15.72,18.19
G211,LN96a,G_1,0.786666667,-1.8157703,15.72,18.19
G001,LN96b,G_1,0.473333333,-2.442942496,22.58,22.94
G002,LN96b,G_1,0.933333333,-2.442942496,22.58,22.94
G003,LN96b,G_1,0.72,-2.442942496,22.58,22.94
G004,LN96b,G_1,-0.026666667,-2.442942496,22.58,22.94
G005,LN96b,G_1,2.02,-2.442942496,22.58,22.94
G006,LN96b,G_1,0.24,-2.442942496,22.58,22.94
G007,LN96b,G_1,0.313333333,-2.442942496,22.58,22.94
G008,LN96b,G_1,0.38,-2.442942496,22.58,22.94
G009,LN96b,G_1,0.826666667,-2.442942496,22.58,22.94
G010,LN96b,G_1,0.98,-2.442942496,22.58,22.94
G011,LN96b,G_1,0.42,-2.442942496,22.58,22.94
G012,LN96b,G_1,0.093333333,-2.442942496,22.58,22.94
G013,LN96b,G_1,1.246666667,-2.442942496,22.58,22.94
G014,LN96b,G_1,1.693333333,-2.442942496,22.58,22.94
G015,LN96b,G_1,0.26,-2.442942496,22.58,22.94
G016,LN96b,G_1,0.28,-2.442942496,22.58,22.94
G017,LN96b,G_1,0.38,-2.442942496,22.58,22.94
G018,LN96b,G_1,0.92,-2.442942496,22.58,22.94
G019,LN96b,G_1,0.953333333,-2.442942496,22.58,22.94
G020,LN96b,G_1,0.806666667,-2.442942496,22.58,22.94
G021,LN96b,G_1,0.206666667,-2.442942496,22.58,22.94
G022,LN96b,G_1,0.126666667,-2.442942496,22.58,22.94
G023,LN96b,G_1,0.946666667,-2.442942496,22.58,22.94
G024,LN96b,G_1,0.42,-2.442942496,22.58,22.94
G025,LN96b,G_1,1.026666667,-2.442942496,22.58,22.94
G026,LN96b,G_1,1.1,-2.442942496,22.58,22.94
G027,LN96b,G_1,0,-2.442942496,22.58,22.94
G028,LN96b,G_1,0.513333333,-2.442942496,22.58,22.94
G029,LN96b,G_1,0.273333333,-2.442942496,22.58,22.94
G030,LN96b,G_1,0.433333333,-2.442942496,22.58,22.94
G031,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G032,LN96b,G_1,0.573333333,-2.442942496,22.58,22.94
G033,LN96b,G_1,0.673333333,-2.442942496,22.58,22.94
G034,LN96b,G_1,0.68,-2.442942496,22.58,22.94
G035,LN96b,G_1,0.32,-2.442942496,22.58,22.94
G036,LN96b,G_1,0.726666667,-2.442942496,22.58,22.94
G037,LN96b,G_1,0.393333333,-2.442942496,22.58,22.94
G038,LN96b,G_1,0.433333333,-2.442942496,22.58,22.94
G039,LN96b,G_1,0.573333333,-2.442942496,22.58,22.94
G040,LN96b,G_1,0.193333333,-2.442942496,22.58,22.94
G041,LN96b,G_1,1.926666667,-2.442942496,22.58,22.94
G042,LN96b,G_1,0.426666667,-2.442942496,22.58,22.94
G043,LN96b,G_1,0.446666667,-2.442942496,22.58,22.94
G044,LN96b,G_1,0.273333333,-2.442942496,22.58,22.94
G045,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G046,LN96b,G_1,0.593333333,-2.442942496,22.58,22.94
G047,LN96b,G_1,0.566666667,-2.442942496,22.58,22.94
G048,LN96b,G_1,0.473333333,-2.442942496,22.58,22.94
G049,LN96b,G_1,0.66,-2.442942496,22.58,22.94
G050,LN96b,G_1,1.193333333,-2.442942496,22.58,22.94
G051,LN96b,G_1,0.14,-2.442942496,22.58,22.94
G052,LN96b,G_1,0.413333333,-2.442942496,22.58,22.94
G053,LN96b,G_1,0.806666667,-2.442942496,22.58,22.94
G054,LN96b,G_1,0.16,-2.442942496,22.58,22.94
G055,LN96b,G_1,0.486666667,-2.442942496,22.58,22.94
G056,LN96b,G_1,0.66,-2.442942496,22.58,22.94
G057,LN96b,G_1,0.433333333,-2.442942496,22.58,22.94
G058,LN96b,G_1,0.393333333,-2.442942496,22.58,22.94
G059,LN96b,G_1,0.166666667,-2.442942496,22.58,22.94
G060,LN96b,G_1,1.553333333,-2.442942496,22.58,22.94
G061,LN96b,G_1,0.693333333,-2.442942496,22.58,22.94
G062,LN96b,G_1,0.906666667,-2.442942496,22.58,22.94
G063,LN96b,G_1,0.326666667,-2.442942496,22.58,22.94
G064,LN96b,G_1,0.546666667,-2.442942496,22.58,22.94
G065,LN96b,G_1,0.313333333,-2.442942496,22.58,22.94
G066,LN96b,G_1,0.513333333,-2.442942496,22.58,22.94
G067,LN96b,G_1,0.473333333,-2.442942496,22.58,22.94
G068,LN96b,G_1,0.913333333,-2.442942496,22.58,22.94
G069,LN96b,G_1,0.726666667,-2.442942496,22.58,22.94
G070,LN96b,G_1,0.18,-2.442942496,22.58,22.94
G071,LN96b,G_1,0.113333333,-2.442942496,22.58,22.94
G072,LN96b,G_1,0.193333333,-2.442942496,22.58,22.94
G073,LN96b,G_1,0.153333333,-2.442942496,22.58,22.94
G074,LN96b,G_1,0.233333333,-2.442942496,22.58,22.94
G075,LN96b,G_1,0.193333333,-2.442942496,22.58,22.94
G076,LN96b,G_1,-0.04,-2.442942496,22.58,22.94
G077,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G078,LN96b,G_1,0.393333333,-2.442942496,22.58,22.94
G079,LN96b,G_1,0.566666667,-2.442942496,22.58,22.94
G080,LN96b,G_1,0.426666667,-2.442942496,22.58,22.94
G081,LN96b,G_1,0.646666667,-2.442942496,22.58,22.94
G082,LN96b,G_1,0.7,-2.442942496,22.58,22.94
G083,LN96b,G_1,0.246666667,-2.442942496,22.58,22.94
G084,LN96b,G_1,0.36,-2.442942496,22.58,22.94
G085,LN96b,G_1,0.72,-2.442942496,22.58,22.94
G086,LN96b,G_1,0.446666667,-2.442942496,22.58,22.94
G087,LN96b,G_1,0.566666667,-2.442942496,22.58,22.94
G088,LN96b,G_1,0.646666667,-2.442942496,22.58,22.94
G089,LN96b,G_1,0.073333333,-2.442942496,22.58,22.94
G090,LN96b,G_1,0.153333333,-2.442942496,22.58,22.94
G091,LN96b,G_1,0.206666667,-2.442942496,22.58,22.94
G092,LN96b,G_1,0.186666667,-2.442942496,22.58,22.94
G093,LN96b,G_1,-0.006666667,-2.442942496,22.58,22.94
G094,LN96b,G_1,0.086666667,-2.442942496,22.58,22.94
G095,LN96b,G_1,0.646666667,-2.442942496,22.58,22.94
G096,LN96b,G_1,0.8,-2.442942496,22.58,22.94
G097,LN96b,G_1,0.366666667,-2.442942496,22.58,22.94
G098,LN96b,G_1,0.633333333,-2.442942496,22.58,22.94
G099,LN96b,G_1,0.733333333,-2.442942496,22.58,22.94
G100,LN96b,G_1,0.66,-2.442942496,22.58,22.94
G101,LN96b,G_1,1.346666667,-2.442942496,22.58,22.94
G102,LN96b,G_1,0.38,-2.442942496,22.58,22.94
G103,LN96b,G_1,0.68,-2.442942496,22.58,22.94
G104,LN96b,G_1,1.233333333,-2.442942496,22.58,22.94
G105,LN96b,G_1,0.74,-2.442942496,22.58,22.94
G106,LN96b,G_1,1.246666667,-2.442942496,22.58,22.94
G107,LN96b,G_1,0.226666667,-2.442942496,22.58,22.94
G108,LN96b,G_1,0.313333333,-2.442942496,22.58,22.94
G109,LN96b,G_1,0.553333333,-2.442942496,22.58,22.94
G110,LN96b,G_1,-0.073333333,-2.442942496,22.58,22.94
G111,LN96b,G_1,0.78,-2.442942496,22.58,22.94
G112,LN96b,G_1,0.786666667,-2.442942496,22.58,22.94
G113,LN96b,G_1,-0.3,-2.442942496,22.58,22.94
G114,LN96b,G_1,0.553333333,-2.442942496,22.58,22.94
G115,LN96b,G_1,2.313333333,-2.442942496,22.58,22.94
G116,LN96b,G_1,0.913333333,-2.442942496,22.58,22.94
G117,LN96b,G_1,0.326666667,-2.442942496,22.58,22.94
G118,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G119,LN96b,G_1,0.726666667,-2.442942496,22.58,22.94
G120,LN96b,G_1,0.806666667,-2.442942496,22.58,22.94
G121,LN96b,G_1,0.833333333,-2.442942496,22.58,22.94
G122,LN96b,G_1,0.626666667,-2.442942496,22.58,22.94
G123,LN96b,G_1,1.213333333,-2.442942496,22.58,22.94
G124,LN96b,G_1,0.953333333,-2.442942496,22.58,22.94
G125,LN96b,G_1,0.82,-2.442942496,22.58,22.94
G126,LN96b,G_1,0.44,-2.442942496,22.58,22.94
G127,LN96b,G_1,0.86,-2.442942496,22.58,22.94
G128,LN96b,G_1,0.313333333,-2.442942496,22.58,22.94
G129,LN96b,G_1,1.28,-2.442942496,22.58,22.94
G130,LN96b,G_1,0.32,-2.442942496,22.58,22.94
G131,LN96b,G_1,1.38,-2.442942496,22.58,22.94
G132,LN96b,G_1,1.073333333,-2.442942496,22.58,22.94
G133,LN96b,G_1,0.453333333,-2.442942496,22.58,22.94
G134,LN96b,G_1,0.6,-2.442942496,22.58,22.94
G135,LN96b,G_1,0.933333333,-2.442942496,22.58,22.94
G136,LN96b,G_1,1.926666667,-2.442942496,22.58,22.94
G137,LN96b,G_1,0.793333333,-2.442942496,22.58,22.94
G138,LN96b,G_1,0.226666667,-2.442942496,22.58,22.94
G139,LN96b,G_1,-0.153333333,-2.442942496,22.58,22.94
G140,LN96b,G_1,0.24,-2.442942496,22.58,22.94
G141,LN96b,G_1,1,-2.442942496,22.58,22.94
G142,LN96b,G_1,1.02,-2.442942496,22.58,22.94
G143,LN96b,G_1,0.32,-2.442942496,22.58,22.94
G144,LN96b,G_1,0.8,-2.442942496,22.58,22.94
G145,LN96b,G_1,0.3,-2.442942496,22.58,22.94
G146,LN96b,G_1,0.786666667,-2.442942496,22.58,22.94
G147,LN96b,G_1,0.526666667,-2.442942496,22.58,22.94
G148,LN96b,G_1,0.42,-2.442942496,22.58,22.94
G149,LN96b,G_1,0.106666667,-2.442942496,22.58,22.94
G150,LN96b,G_1,0.526666667,-2.442942496,22.58,22.94
G151,LN96b,G_1,0.2,-2.442942496,22.58,22.94
G152,LN96b,G_1,1.066666667,-2.442942496,22.58,22.94
G153,LN96b,G_1,0.266666667,-2.442942496,22.58,22.94
G154,LN96b,G_1,0.92,-2.442942496,22.58,22.94
G155,LN96b,G_1,0.36,-2.442942496,22.58,22.94
G156,LN96b,G_1,0.42,-2.442942496,22.58,22.94
G157,LN96b,G_1,0.466666667,-2.442942496,22.58,22.94
G158,LN96b,G_1,0.233333333,-2.442942496,22.58,22.94
G159,LN96b,G_1,0.166666667,-2.442942496,22.58,22.94
G160,LN96b,G_1,1.553333333,-2.442942496,22.58,22.94
G161,LN96b,G_1,0.426666667,-2.442942496,22.58,22.94
G162,LN96b,G_1,0.586666667,-2.442942496,22.58,22.94
G163,LN96b,G_1,0.373333333,-2.442942496,22.58,22.94
G164,LN96b,G_1,0.426666667,-2.442942496,22.58,22.94
G165,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G166,LN96b,G_1,0.7,-2.442942496,22.58,22.94
G167,LN96b,G_1,1.673333333,-2.442942496,22.58,22.94
G168,LN96b,G_1,0.526666667,-2.442942496,22.58,22.94
G169,LN96b,G_1,0.52,-2.442942496,22.58,22.94
G170,LN96b,G_1,0.3,-2.442942496,22.58,22.94
G171,LN96b,G_1,0.713333333,-2.442942496,22.58,22.94
G172,LN96b,G_1,0.593333333,-2.442942496,22.58,22.94
G173,LN96b,G_1,0.453333333,-2.442942496,22.58,22.94
G174,LN96b,G_1,0.486666667,-2.442942496,22.58,22.94
G175,LN96b,G_1,0.446666667,-2.442942496,22.58,22.94
G176,LN96b,G_1,0.326666667,-2.442942496,22.58,22.94
G177,LN96b,G_1,0.653333333,-2.442942496,22.58,22.94
G178,LN96b,G_1,0.38,-2.442942496,22.58,22.94
G179,LN96b,G_1,-0.04,-2.442942496,22.58,22.94
G180,LN96b,G_1,0.353333333,-2.442942496,22.58,22.94
G181,LN96b,G_1,0.953333333,-2.442942496,22.58,22.94
G182,LN96b,G_1,0.293333333,-2.442942496,22.58,22.94
G183,LN96b,G_1,0.846666667,-2.442942496,22.58,22.94
G184,LN96b,G_1,0.766666667,-2.442942496,22.58,22.94
G185,LN96b,G_1,0.646666667,-2.442942496,22.58,22.94
G186,LN96b,G_1,1.473333333,-2.442942496,22.58,22.94
G187,LN96b,G_1,0.72,-2.442942496,22.58,22.94
G188,LN96b,G_1,0.266666667,-2.442942496,22.58,22.94
G189,LN96b,G_1,0.2,-2.442942496,22.58,22.94
G190,LN96b,G_1,0.273333333,-2.442942496,22.58,22.94
G191,LN96b,G_1,0.68,-2.442942496,22.58,22.94
G192,LN96b,G_1,0.773333333,-2.442942496,22.58,22.94
G193,LN96b,G_1,0.38,-2.442942496,22.58,22.94
G194,LN96b,G_1,0.126666667,-2.442942496,22.58,22.94
G195,LN96b,G_1,0.493333333,-2.442942496,22.58,22.94
G196,LN96b,G_1,0.54,-2.442942496,22.58,22.94
G197,LN96b,G_1,1.126666667,-2.442942496,22.58,22.94
G198,LN96b,G_1,0.62,-2.442942496,22.58,22.94
G199,LN96b,G_1,0.333333333,-2.442942496,22.58,22.94
G200,LN96b,G_1,1.626666667,-2.442942496,22.58,22.94
G201,LN96b,G_1,0.54,-2.442942496,22.58,22.94
G202,LN96b,G_1,1.193333333,-2.442942496,22.58,22.94
G203,LN96b,G_1,1.053333333,-2.442942496,22.58,22.94
G204,LN96b,G_1,1.073333333,-2.442942496,22.58,22.94
G205,LN96b,G_1,0.653333333,-2.442942496,22.58,22.94
G206,LN96b,G_1,0.806666667,-2.442942496,22.58,22.94
G207,LN96b,G_1,1.106666667,-2.442942496,22.58,22.94
G208,LN96b,G_1,1.24,-2.442942496,22.58,22.94
G209,LN96b,G_1,0.293333333,-2.442942496,22.58,22.94
G210,LN96b,G_1,1.16,-2.442942496,22.58,22.94
G211,LN96b,G_1,0.16,-2.442942496,22.58,22.94
G001,SS92a,G_2,3.289333333,-0.587828752,9.7,18.2
G002,SS92a,G_2,2.922666667,-0.587828752,9.7,18.2
G003,SS92a,G_2,2.728666667,-0.587828752,9.7,18.2
G004,SS92a,G_2,2.460666667,-0.587828752,9.7,18.2
G005,SS92a,G_2,2.848666667,-0.587828752,9.7,18.2
G006,SS92a,G_2,1.782666667,-0.587828752,9.7,18.2
G007,SS92a,G_2,2.509333333,-0.587828752,9.7,18.2
G008,SS92a,G_2,1.053333333,-0.587828752,9.7,18.2
G009,SS92a,G_2,1.345333333,-0.587828752,9.7,18.2
