Geno,Loc,Year,Env,Block,y
G07,Loc01,Year4,Loc01_Year4,Blk1,14.66902977
G07,Loc01,Year4,Loc01_Year4,Blk2,9.615224306
G07,Loc01,Year4,Loc01_Year4,Blk3,11.54587628
G07,Loc01,Year5,Loc01_Year5,Blk1,12.12737651
G07,Loc01,Year5,Loc01_Year5,Blk2,13.3184585
G07,Loc01,Year5,Loc01_Year5,Blk3,9.757300601
G08,Loc01,Year1,Loc01_Year1,Blk1,13.07347228
G08,Loc01,Year1,Loc01_Year1,Blk2,15.69614476
G08,Loc01,Year1,Loc01_Year1,Blk3,15.15992175
G08,Loc01,Year2,Loc01_Year2,Blk1,10.57598619
G08,Loc01,Year2,Loc01_Year2,Blk2,17.36817458
G08,Loc01,Year2,Loc01_Year2,Blk3,15.11291352
G08,Loc01,Year3,Loc01_Year3,Blk1,11.34895309
G08,Loc01,Year3,Loc01_Year3,Blk2,9.325672999
G08,Loc01,Year3,Loc01_Year3,Blk3,12.65558622
G08,Loc01,Year4,Loc01_Year4,Blk1,13.99725345
G08,Loc01,Year4,Loc01_Year4,Blk2,12.41016087
G08,Loc01,Year4,Loc01_Year4,Blk3,14.86821837
G08,Loc01,Year5,Loc01_Year5,Blk1,10.34677608
G08,Loc01,Year5,Loc01_Year5,Blk2,7.019192357
G08,Loc01,Year5,Loc01_Year5,Blk3,11.6685501
G09,Loc01,Year1,Loc01_Year1,Blk1,15.96872325
G09,Loc01,Year1,Loc01_Year1,Blk2,15.7003459
G09,Loc01,Year1,Loc01_Year1,Blk3,17.3217291
G09,Loc01,Year2,Loc01_Year2,Blk1,14.15074935
G09,Loc01,Year2,Loc01_Year2,Blk2,11.15611859
G09,Loc01,Year2,Loc01_Year2,Blk3,15.49093891
G09,Loc01,Year3,Loc01_Year3,Blk1,11.75349181
G09,Loc01,Year3,Loc01_Year3,Blk2,7.652399602
G09,Loc01,Year3,Loc01_Year3,Blk3,13.75523893
G09,Loc01,Year4,Loc01_Year4,Blk1,10.85199208
G09,Loc01,Year4,Loc01_Year4,Blk2,12.17148955
G09,Loc01,Year4,Loc01_Year4,Blk3,10.62612452
G09,Loc01,Year5,Loc01_Year5,Blk1,9.986729665
G09,Loc01,Year5,Loc01_Year5,Blk2,9.555521317
G09,Loc01,Year5,Loc01_Year5,Blk3,13.57886405
G10,Loc01,Year1,Loc01_Year1,Blk1,14.52565876
G10,Loc01,Year1,Loc01_Year1,Blk2,17.48610969
G10,Loc01,Year1,Loc01_Year1,Blk3,19.06797257
G10,Loc01,Year2,Loc01_Year2,Blk1,16.98415006
G10,Loc01,Year2,Loc01_Year2,Blk2,17.04487698
G10,Loc01,Year2,Loc01_Year2,Blk3,18.55688262
G10,Loc01,Year3,Loc01_Year3,Blk1,14.90923337
G10,Loc01,Year3,Loc01_Year3,Blk2,11.49158961
G10,Loc01,Year3,Loc01_Year3,Blk3,13.69445956
G10,Loc01,Year4,Loc01_Year4,Blk1,8.873441628
G10,Loc01,Year4,Loc01_Year4,Blk2,15.55931387
G10,Loc01,Year4,Loc01_Year4,Blk3,9.047230942
G10,Loc01,Year5,Loc01_Year5,Blk1,16.17661554
G10,Loc01,Year5,Loc01_Year5,Blk2,10.38262398
G10,Loc01,Year5,Loc01_Year5,Blk3,11.99778117
G11,Loc01,Year1,Loc01_Year1,Blk1,14.62557003
G11,Loc01,Year1,Loc01_Year1,Blk2,16.47546645
G11,Loc01,Year1,Loc01_Year1,Blk3,14.50811625
G11,Loc01,Year2,Loc01_Year2,Blk1,16.05022976
G11,Loc01,Year2,Loc01_Year2,Blk2,15.16150214
G11,Loc01,Year2,Loc01_Year2,Blk3,11.55851597
G11,Loc01,Year3,Loc01_Year3,Blk1,11.95878764
G11,Loc01,Year3,Loc01_Year3,Blk2,8.253541547
G11,Loc01,Year3,Loc01_Year3,Blk3,13.00509044
G11,Loc01,Year4,Loc01_Year4,Blk1,12.98156158
G11,Loc01,Year4,Loc01_Year4,Blk2,16.37736175
G11,Loc01,Year4,Loc01_Year4,Blk3,12.76262036
G11,Loc01,Year5,Loc01_Year5,Blk1,17.15175683
G11,Loc01,Year5,Loc01_Year5,Blk2,12.8289659
G11,Loc01,Year5,Loc01_Year5,Blk3,16.02322353
G12,Loc01,Year1,Loc01_Year1,Blk1,17.75364588
G12,Loc01,Year1,Loc01_Year1,Blk2,14.10454063
G12,Loc01,Year1,Loc01_Year1,Blk3,10.0768643
G12,Loc01,Year2,Loc01_Year2,Blk1,13.66299527
G12,Loc01,Year2,Loc01_Year2,Blk2,17.72778583
G12,Loc01,Year2,Loc01_Year2,Blk3,12.76834928
G12,Loc01,Year3,Loc01_Year3,Blk1,10.73787766
G12,Loc01,Year3,Loc01_Year3,Blk2,12.25403335
G12,Loc01,Year3,Loc01_Year3,Blk3,12.58571861
G12,Loc01,Year4,Loc01_Year4,Blk1,13.13067958
G12,Loc01,Year4,Loc01_Year4,Blk2,14.99003448
G12,Loc01,Year4,Loc01_Year4,Blk3,12.51436868
G12,Loc01,Year5,Loc01_Year5,Blk1,15.07527576
G12,Loc01,Year5,Loc01_Year5,Blk2,12.80011738
G12,Loc01,Year5,Loc01_Year5,Blk3,10.79160212
G13,Loc01,Year1,Loc01_Year1,Blk1,14.46251199
G13,Loc01,Year1,Loc01_Year1,Blk2,16.65342983
G13,Loc01,Year1,Loc01_Year1,Blk3,11.66396673
G13,Loc01,Year2,Loc01_Year2,Blk1,14.36136163
G13,Loc01,Year2,Loc01_Year2,Blk2,16.50393044
G13,Loc01,Year2,Loc01_Year2,Blk3,12.68063856
G13,Loc01,Year3,Loc01_Year3,Blk1,12.64270479
G13,Loc01,Year3,Loc01_Year3,Blk2,12.72370701
G13,Loc01,Year3,Loc01_Year3,Blk3,11.02575086
G13,Loc01,Year4,Loc01_Year4,Blk1,18.24866385
G13,Loc01,Year4,Loc01_Year4,Blk2,14.16157491
G13,Loc01,Year4,Loc01_Year4,Blk3,16.68120992
G13,Loc01,Year5,Loc01_Year5,Blk1,12.6121078
G13,Loc01,Year5,Loc01_Year5,Blk2,14.46639071
G13,Loc01,Year5,Loc01_Year5,Blk3,10.77617923
G14,Loc01,Year1,Loc01_Year1,Blk1,12.98895879
G14,Loc01,Year1,Loc01_Year1,Blk2,16.12940194
G14,Loc01,Year1,Loc01_Year1,Blk3,19.15011142
G14,Loc01,Year2,Loc01_Year2,Blk1,15.30308216
G14,Loc01,Year2,Loc01_Year2,Blk2,17.7952672
G14,Loc01,Year2,Loc01_Year2,Blk3,18.17581428
G14,Loc01,Year3,Loc01_Year3,Blk1,7.584989258
G14,Loc01,Year3,Loc01_Year3,Blk2,13.17399773
G14,Loc01,Year3,Loc01_Year3,Blk3,12.43689599
G14,Loc01,Year4,Loc01_Year4,Blk1,12.51516516
G14,Loc01,Year4,Loc01_Year4,Blk2,13.02188945
G14,Loc01,Year4,Loc01_Year4,Blk3,16.32387735
G14,Loc01,Year5,Loc01_Year5,Blk1,12.66943466
G14,Loc01,Year5,Loc01_Year5,Blk2,14.14152896
G14,Loc01,Year5,Loc01_Year5,Blk3,16.46427646
G15,Loc01,Year1,Loc01_Year1,Blk1,15.26583524
G15,Loc01,Year1,Loc01_Year1,Blk2,14.15214937
G15,Loc01,Year1,Loc01_Year1,Blk3,15.4251481
G15,Loc01,Year2,Loc01_Year2,Blk1,17.33921059
G15,Loc01,Year2,Loc01_Year2,Blk2,15.15893148
G15,Loc01,Year2,Loc01_Year2,Blk3,18.39437162
G15,Loc01,Year3,Loc01_Year3,Blk1,10.57741123
G15,Loc01,Year3,Loc01_Year3,Blk2,11.79474405
G15,Loc01,Year3,Loc01_Year3,Blk3,10.30925057
G15,Loc01,Year4,Loc01_Year4,Blk1,15.43425948
G15,Loc01,Year4,Loc01_Year4,Blk2,16.51811074
G15,Loc01,Year4,Loc01_Year4,Blk3,16.08455802
G15,Loc01,Year5,Loc01_Year5,Blk1,17.38461906
G15,Loc01,Year5,Loc01_Year5,Blk2,16.54467861
G15,Loc01,Year5,Loc01_Year5,Blk3,15.87112585
G16,Loc01,Year1,Loc01_Year1,Blk1,16.50758158
G16,Loc01,Year1,Loc01_Year1,Blk2,19.96966942
G16,Loc01,Year1,Loc01_Year1,Blk3,12.43542118
G16,Loc01,Year2,Loc01_Year2,Blk1,15.63584318
G16,Loc01,Year2,Loc01_Year2,Blk2,14.99832143
G16,Loc01,Year2,Loc01_Year2,Blk3,20.00694728
G16,Loc01,Year3,Loc01_Year3,Blk1,11.22003973
G16,Loc01,Year3,Loc01_Year3,Blk2,8.725200095
G16,Loc01,Year3,Loc01_Year3,Blk3,12.43291151
G16,Loc01,Year4,Loc01_Year4,Blk1,14.22613973
G16,Loc01,Year4,Loc01_Year4,Blk2,16.37700396
G16,Loc01,Year4,Loc01_Year4,Blk3,16.34319792
G16,Loc01,Year5,Loc01_Year5,Blk1,16.717957
G16,Loc01,Year5,Loc01_Year5,Blk2,14.10249904
G16,Loc01,Year5,Loc01_Year5,Blk3,15.00488891
G17,Loc01,Year1,Loc01_Year1,Blk1,12.81848516
G17,Loc01,Year1,Loc01_Year1,Blk2,14.78765669
G17,Loc01,Year1,Loc01_Year1,Blk3,13.6512735
G17,Loc01,Year2,Loc01_Year2,Blk1,14.74059401
G17,Loc01,Year2,Loc01_Year2,Blk2,15.49814591
G17,Loc01,Year2,Loc01_Year2,Blk3,15.47149806
G17,Loc01,Year3,Loc01_Year3,Blk1,8.017224716
G17,Loc01,Year3,Loc01_Year3,Blk2,16.66803642
G17,Loc01,Year3,Loc01_Year3,Blk3,10.77097605
G17,Loc01,Year4,Loc01_Year4,Blk1,17.04286859
G17,Loc01,Year4,Loc01_Year4,Blk2,14.71969551
G17,Loc01,Year4,Loc01_Year4,Blk3,14.68675828
G17,Loc01,Year5,Loc01_Year5,Blk1,14.77798531
G17,Loc01,Year5,Loc01_Year5,Blk2,15.32949075
G17,Loc01,Year5,Loc01_Year5,Blk3,13.05929758
G18,Loc01,Year1,Loc01_Year1,Blk1,12.33687938
G18,Loc01,Year1,Loc01_Year1,Blk2,16.42047361
G18,Loc01,Year1,Loc01_Year1,Blk3,13.42634097
G18,Loc01,Year2,Loc01_Year2,Blk1,12.51718768
G18,Loc01,Year2,Loc01_Year2,Blk2,17.33894573
G18,Loc01,Year2,Loc01_Year2,Blk3,13.95566505
G18,Loc01,Year3,Loc01_Year3,Blk1,10.40027054
G18,Loc01,Year3,Loc01_Year3,Blk2,11.09211617
G18,Loc01,Year3,Loc01_Year3,Blk3,9.866791482
G18,Loc01,Year4,Loc01_Year4,Blk1,15.72291521
G18,Loc01,Year4,Loc01_Year4,Blk2,15.29203875
G18,Loc01,Year4,Loc01_Year4,Blk3,13.39445534
G18,Loc01,Year5,Loc01_Year5,Blk1,16.83851999
G18,Loc01,Year5,Loc01_Year5,Blk2,14.19487801
G18,Loc01,Year5,Loc01_Year5,Blk3,12.56292295
G19,Loc01,Year1,Loc01_Year1,Blk1,16.00625162
G19,Loc01,Year1,Loc01_Year1,Blk2,13.42767595
G19,Loc01,Year1,Loc01_Year1,Blk3,18.44917928
G19,Loc01,Year2,Loc01_Year2,Blk1,15.31480559
G19,Loc01,Year2,Loc01_Year2,Blk2,11.65932415
G19,Loc01,Year2,Loc01_Year2,Blk3,16.22521412
G19,Loc01,Year3,Loc01_Year3,Blk1,10.38011065
G19,Loc01,Year3,Loc01_Year3,Blk2,6.733390587
G19,Loc01,Year3,Loc01_Year3,Blk3,11.69916047
G19,Loc01,Year4,Loc01_Year4,Blk1,17.02953585
G19,Loc01,Year4,Loc01_Year4,Blk2,13.26680878
G19,Loc01,Year4,Loc01_Year4,Blk3,17.72584682
G19,Loc01,Year5,Loc01_Year5,Blk1,17.05036068
G19,Loc01,Year5,Loc01_Year5,Blk2,13.35275683
G19,Loc01,Year5,Loc01_Year5,Blk3,16.2013805
G20,Loc01,Year1,Loc01_Year1,Blk1,14.78500861
G20,Loc01,Year1,Loc01_Year1,Blk2,13.29411974
G20,Loc01,Year1,Loc01_Year1,Blk3,16.67194061
G20,Loc01,Year2,Loc01_Year2,Blk1,15.74680053
G20,Loc01,Year2,Loc01_Year2,Blk2,14.33634653
G20,Loc01,Year2,Loc01_Year2,Blk3,14.85226246
G20,Loc01,Year3,Loc01_Year3,Blk1,11.9570742
G20,Loc01,Year3,Loc01_Year3,Blk2,12.61349163
G20,Loc01,Year3,Loc01_Year3,Blk3,12.1740552
G20,Loc01,Year4,Loc01_Year4,Blk1,16.93083495
G20,Loc01,Year4,Loc01_Year4,Blk2,12.6462417
G20,Loc01,Year4,Loc01_Year4,Blk3,13.2667328
G20,Loc01,Year5,Loc01_Year5,Blk1,17.34599025
G20,Loc01,Year5,Loc01_Year5,Blk2,16.34936821
G20,Loc01,Year5,Loc01_Year5,Blk3,13.53435312
G21,Loc01,Year1,Loc01_Year1,Blk1,11.64497121
G21,Loc01,Year1,Loc01_Year1,Blk2,9.145613923
G21,Loc01,Year1,Loc01_Year1,Blk3,8.810538477
G21,Loc01,Year2,Loc01_Year2,Blk1,15.40076223
G21,Loc01,Year2,Loc01_Year2,Blk2,13.05620379
G21,Loc01,Year2,Loc01_Year2,Blk3,13.92750515
G21,Loc01,Year3,Loc01_Year3,Blk1,12.22684922
G21,Loc01,Year3,Loc01_Year3,Blk2,12.63537627
G21,Loc01,Year3,Loc01_Year3,Blk3,14.80716559
G21,Loc01,Year4,Loc01_Year4,Blk1,12.61923478
G21,Loc01,Year4,Loc01_Year4,Blk2,15.64789661
G21,Loc01,Year4,Loc01_Year4,Blk3,13.50412099
G21,Loc01,Year5,Loc01_Year5,Blk1,16.71577163
G21,Loc01,Year5,Loc01_Year5,Blk2,16.51219733
G21,Loc01,Year5,Loc01_Year5,Blk3,14.37048643
G22,Loc01,Year1,Loc01_Year1,Blk1,10.37604558
G22,Loc01,Year1,Loc01_Year1,Blk2,11.32672555
G22,Loc01,Year1,Loc01_Year1,Blk3,10.94155813
G22,Loc01,Year2,Loc01_Year2,Blk1,12.93493821
G22,Loc01,Year2,Loc01_Year2,Blk2,17.89170586
G22,Loc01,Year2,Loc01_Year2,Blk3,9.947502441
G22,Loc01,Year3,Loc01_Year3,Blk1,11.81269747
G22,Loc01,Year3,Loc01_Year3,Blk2,13.23128271
G22,Loc01,Year3,Loc01_Year3,Blk3,13.2811315
G22,Loc01,Year4,Loc01_Year4,Blk1,15.88051576
G22,Loc01,Year4,Loc01_Year4,Blk2,13.1598507
G22,Loc01,Year4,Loc01_Year4,Blk3,12.25833292
G22,Loc01,Year5,Loc01_Year5,Blk1,11.30440182
G22,Loc01,Year5,Loc01_Year5,Blk2,11.59623089
G22,Loc01,Year5,Loc01_Year5,Blk3,10.86470328
G23,Loc01,Year1,Loc01_Year1,Blk1,14.59606749
G23,Loc01,Year1,Loc01_Year1,Blk2,10.30393331
G23,Loc01,Year1,Loc01_Year1,Blk3,9.864324325
G23,Loc01,Year2,Loc01_Year2,Blk1,13.33755784
G23,Loc01,Year2,Loc01_Year2,Blk2,15.59913836
G23,Loc01,Year2,Loc01_Year2,Blk3,9.611633707
G23,Loc01,Year3,Loc01_Year3,Blk1,14.51260865
G23,Loc01,Year3,Loc01_Year3,Blk2,13.98469346
G23,Loc01,Year3,Loc01_Year3,Blk3,12.3504104
G23,Loc01,Year4,Loc01_Year4,Blk1,12.77144502
G23,Loc01,Year4,Loc01_Year4,Blk2,17.8983897
G23,Loc01,Year4,Loc01_Year4,Blk3,15.25901012
G23,Loc01,Year5,Loc01_Year5,Blk1,16.34813085
G23,Loc01,Year5,Loc01_Year5,Blk2,17.40033721
G23,Loc01,Year5,Loc01_Year5,Blk3,14.31428927
G24,Loc01,Year1,Loc01_Year1,Blk1,10.85137473
G24,Loc01,Year1,Loc01_Year1,Blk2,14.75171331
G24,Loc01,Year1,Loc01_Year1,Blk3,11.6181291
G24,Loc01,Year2,Loc01_Year2,Blk1,13.32904394
G24,Loc01,Year2,Loc01_Year2,Blk2,19.34242654
G24,Loc01,Year2,Loc01_Year2,Blk3,12.9488884
G24,Loc01,Year3,Loc01_Year3,Blk1,13.96882041
G24,Loc01,Year3,Loc01_Year3,Blk2,17.66565017
G24,Loc01,Year3,Loc01_Year3,Blk3,11.44356463
G24,Loc01,Year4,Loc01_Year4,Blk1,9.366488619
G24,Loc01,Year4,Loc01_Year4,Blk2,14.98581046
G24,Loc01,Year4,Loc01_Year4,Blk3,16.1596345
G24,Loc01,Year5,Loc01_Year5,Blk1,17.00168947
G24,Loc01,Year5,Loc01_Year5,Blk2,12.0341146
G24,Loc01,Year5,Loc01_Year5,Blk3,14.71621525
G25,Loc01,Year1,Loc01_Year1,Blk1,11.80523592
G25,Loc01,Year1,Loc01_Year1,Blk2,10.87473878
G25,Loc01,Year1,Loc01_Year1,Blk3,13.46796066
G25,Loc01,Year2,Loc01_Year2,Blk1,14.98760586
G25,Loc01,Year2,Loc01_Year2,Blk2,12.86834883
G25,Loc01,Year2,Loc01_Year2,Blk3,13.90650173
G25,Loc01,Year3,Loc01_Year3,Blk1,15.1548074
G25,Loc01,Year3,Loc01_Year3,Blk2,14.70558718
G25,Loc01,Year3,Loc01_Year3,Blk3,17.33107614
G25,Loc01,Year4,Loc01_Year4,Blk1,14.85409124
G25,Loc01,Year4,Loc01_Year4,Blk2,13.22240095
G25,Loc01,Year4,Loc01_Year4,Blk3,19.20301398
G25,Loc01,Year5,Loc01_Year5,Blk1,14.21405073
G25,Loc01,Year5,Loc01_Year5,Blk2,14.30267765
G25,Loc01,Year5,Loc01_Year5,Blk3,17.41539755
G26,Loc01,Year1,Loc01_Year1,Blk1,9.430062285
G26,Loc01,Year1,Loc01_Year1,Blk2,10.96653539
G26,Loc01,Year1,Loc01_Year1,Blk3,12.71792011
G26,Loc01,Year2,Loc01_Year2,Blk1,17.84434487
G26,Loc01,Year2,Loc01_Year2,Blk2,14.71105798
G26,Loc01,Year2,Loc01_Year2,Blk3,17.27882344
G26,Loc01,Year3,Loc01_Year3,Blk1,13.1044048
G26,Loc01,Year3,Loc01_Year3,Blk2,12.42964649
G26,Loc01,Year3,Loc01_Year3,Blk3,13.78151382
G26,Loc01,Year4,Loc01_Year4,Blk1,12.22922445
G26,Loc01,Year4,Loc01_Year4,Blk2,14.22385274
G26,Loc01,Year4,Loc01_Year4,Blk3,15.89521526
G26,Loc01,Year5,Loc01_Year5,Blk1,14.39927688
G26,Loc01,Year5,Loc01_Year5,Blk2,15.40492491
G26,Loc01,Year5,Loc01_Year5,Blk3,12.51852607
G27,Loc01,Year1,Loc01_Year1,Blk1,8.995890812
G27,Loc01,Year1,Loc01_Year1,Blk2,12.80254765
G27,Loc01,Year1,Loc01_Year1,Blk3,12.79225554
G27,Loc01,Year2,Loc01_Year2,Blk1,15.91091514
G27,Loc01,Year2,Loc01_Year2,Blk2,14.74489187
G27,Loc01,Year2,Loc01_Year2,Blk3,14.80967555
G27,Loc01,Year3,Loc01_Year3,Blk1,13.39706908
G27,Loc01,Year3,Loc01_Year3,Blk2,12.467674
G27,Loc01,Year3,Loc01_Year3,Blk3,15.06684844
G27,Loc01,Year4,Loc01_Year4,Blk1,15.09139803
G27,Loc01,Year4,Loc01_Year4,Blk2,14.89908763
G27,Loc01,Year4,Loc01_Year4,Blk3,15.00953718
G27,Loc01,Year5,Loc01_Year5,Blk1,16.12800521
G27,Loc01,Year5,Loc01_Year5,Blk2,14.4318028
G27,Loc01,Year5,Loc01_Year5,Blk3,15.03633385
G28,Loc01,Year1,Loc01_Year1,Blk1,11.816759
G28,Loc01,Year1,Loc01_Year1,Blk2,9.720626515
G28,Loc01,Year1,Loc01_Year1,Blk3,12.94691859
G28,Loc01,Year2,Loc01_Year2,Blk1,12.54301505
G28,Loc01,Year2,Loc01_Year2,Blk2,14.03622441
G28,Loc01,Year2,Loc01_Year2,Blk3,16.39636203
G28,Loc01,Year3,Loc01_Year3,Blk1,12.6489692
G28,Loc01,Year3,Loc01_Year3,Blk2,14.17199759
G28,Loc01,Year3,Loc01_Year3,Blk3,13.14820923
G28,Loc01,Year4,Loc01_Year4,Blk1,12.85021989
G28,Loc01,Year4,Loc01_Year4,Blk2,13.16885933
G28,Loc01,Year4,Loc01_Year4,Blk3,15.45659883
G28,Loc01,Year5,Loc01_Year5,Blk1,15.61276336
G28,Loc01,Year5,Loc01_Year5,Blk2,12.9700289
G28,Loc01,Year5,Loc01_Year5,Blk3,16.74685941
G29,Loc01,Year1,Loc01_Year1,Blk1,10.13824059
G29,Loc01,Year1,Loc01_Year1,Blk2,9.282949447
G29,Loc01,Year1,Loc01_Year1,Blk3,12.03952628
G29,Loc01,Year2,Loc01_Year2,Blk1,14.67320221
G29,Loc01,Year2,Loc01_Year2,Blk2,12.3827352
G29,Loc01,Year2,Loc01_Year2,Blk3,13.22640956
G29,Loc01,Year3,Loc01_Year3,Blk1,11.05830809
G29,Loc01,Year3,Loc01_Year3,Blk2,10.28709676
G29,Loc01,Year3,Loc01_Year3,Blk3,13.65433431
G29,Loc01,Year4,Loc01_Year4,Blk1,17.39323141
G29,Loc01,Year4,Loc01_Year4,Blk2,10.79870088
G29,Loc01,Year4,Loc01_Year4,Blk3,14.15881388
G29,Loc01,Year5,Loc01_Year5,Blk1,17.05714698
G29,Loc01,Year5,Loc01_Year5,Blk2,14.89245349
G29,Loc01,Year5,Loc01_Year5,Blk3,15.71342969
G30,Loc01,Year1,Loc01_Year1,Blk1,10.63370751
